nDCG,Recall,collection,count
"[0.18617, 0.17652, 0.19418, 0.23289]","[0.09637, 0.16925, 0.21668, 0.31407]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.12778, 0.11986, 0.14605, 0.17368]","[0.05278, 0.11528, 0.17366, 0.242]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.27363, 0.27459, 0.29527, 0.34175]","[0.1199, 0.26949, 0.32778, 0.43595]",mt-rag-govt-elser-512-100-20240611,201
"[0.24519, 0.21822, 0.24533, 0.29366]","[0.08934, 0.1936, 0.27025, 0.389]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.21106758043758042, 0.19992652509652512, 0.22287355212355214, 0.26360199485199487]","[0.09047693693693695, 0.18919651222651224, 0.24979462033462033, 0.3489615315315316]",all,777
