nDCG,Recall,collection,count
"[0.26368, 0.24686, 0.26996, 0.30709]","[0.11484, 0.23159, 0.29417, 0.38255]",mt-rag-govt-elser-512-100-20240611,201
"[0.19149, 0.18408, 0.19887, 0.22692]","[0.10301, 0.17679, 0.21579, 0.28579]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.20673, 0.19031, 0.20779, 0.25522]","[0.0774, 0.16844, 0.22305, 0.33665]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.07222, 0.08152, 0.09723, 0.12169]","[0.02685, 0.082, 0.11737, 0.17705]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.18661420849420848, 0.17822906048906048, 0.19610198198198198, 0.23085715572715573]","[0.08157132561132562, 0.16677172458172457, 0.21520938223938224, 0.29924487773487773]",all,777
