nDCG,Recall,collection,count
"[0.19712, 0.17082, 0.19331, 0.22831]","[0.06795, 0.14868, 0.20915, 0.29097]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.08333, 0.07646, 0.08716, 0.10184]","[0.02685, 0.07611, 0.10283, 0.13729]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.1383, 0.11985, 0.1392, 0.16632]","[0.06073, 0.11424, 0.15843, 0.2232]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.19403, 0.20901, 0.22712, 0.2607]","[0.09268, 0.20976, 0.25652, 0.33538]",mt-rag-govt-elser-512-100-20240611,201
"[0.15572817245817247, 0.14650729729729728, 0.16437323037323037, 0.19239194337194337]","[0.06307917631917631, 0.13933606177606178, 0.184501879021879, 0.25045938223938224]",all,777
