nDCG,Recall,collection,count
"[0.25556, 0.23992, 0.26137, 0.29562]","[0.1107, 0.22112, 0.28025, 0.36095]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.25, 0.25382, 0.27722, 0.31407]","[0.12713, 0.252, 0.30897, 0.39661]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.49038, 0.41424, 0.44103, 0.49913]","[0.18495, 0.36568, 0.45863, 0.59951]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.31841, 0.3095, 0.34483, 0.39275]","[0.14494, 0.30122, 0.38554, 0.49859]",mt-rag-govt-elser-512-100-20240611,214
"[0.33265, 0.30736334916864605, 0.3342364251781473, 0.37893865795724463]","[0.14315547505938242, 0.28745401425178146, 0.36145757719714966, 0.46807909738717335]",all,842
