nDCG,Recall,collection,count
"[0.22596, 0.20968, 0.23488, 0.27946]","[0.08253, 0.18831, 0.25751, 0.36429]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.23881, 0.24256, 0.26869, 0.30579]","[0.10514, 0.24395, 0.30763, 0.39502]",mt-rag-govt-elser-512-100-20240611,214
"[0.16489, 0.16955, 0.1829, 0.21661]","[0.09043, 0.16597, 0.20219, 0.28677]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.07778, 0.08141, 0.10048, 0.12592]","[0.02778, 0.08107, 0.1245, 0.18427]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.17933616389548693, 0.17795071258907363, 0.19905320665083134, 0.23456203087885985]","[0.07726015439429929, 0.17166688836104513, 0.22534383610451306, 0.3106803087885986]",all,842
