nDCG,Recall,collection,count
"[0.20192, 0.20646, 0.23832, 0.27525]","[0.07796, 0.1948, 0.27418, 0.36242]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.22388, 0.22929, 0.25494, 0.29395]","[0.09502, 0.22927, 0.28865, 0.37886]",mt-rag-govt-elser-512-100-20240611,214
"[0.09444, 0.08748, 0.10466, 0.1227]","[0.0375, 0.08292, 0.12126, 0.16316]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.17021, 0.17969, 0.18768, 0.21518]","[0.09181, 0.18069, 0.20861, 0.27471]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.17437887173396674, 0.1776247862232779, 0.1986253919239905, 0.2293236342042755]","[0.0761055463182898, 0.17368350356294537, 0.22575203087885987, 0.29815024940617574]",all,842
