nDCG,Recall,collection,count
"[0.30846, 0.30521, 0.33803, 0.37431]","[0.13997, 0.29674, 0.37572, 0.46143]",mt-rag-govt-elser-512-100-20240611,214
"[0.26064, 0.25349, 0.28062, 0.31507]","[0.12922, 0.24416, 0.31194, 0.39138]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.26111, 0.24324, 0.2673, 0.3085]","[0.11042, 0.22437, 0.28927, 0.38544]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.45192, 0.38681, 0.42702, 0.48408]","[0.1706, 0.34757, 0.45855, 0.5959]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.32379169833729216, 0.29968003562945367, 0.33101033254156764, 0.3735357600950119]","[0.1385174109263658, 0.28035685273159144, 0.36179538004750594, 0.46218893111638953]",all,842
