nDCG,Recall,collection,count
"[0.49038, 0.47989, 0.51785, 0.58521]","[0.20061, 0.44317, 0.56068, 0.71667]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.35, 0.31505, 0.34372, 0.40084]","[0.14815, 0.28853, 0.36927, 0.5036]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.37313, 0.37331, 0.4133, 0.46441]","[0.17584, 0.35795, 0.45891, 0.5817]",mt-rag-govt-elser-512-100-20240611,214
"[0.35106, 0.35497, 0.38379, 0.42607]","[0.17181, 0.34783, 0.42581, 0.52262]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.3934824703087886, 0.3834293349168646, 0.41748435866983374, 0.4721879928741093]","[0.1749041567695962, 0.36175059382422803, 0.45673971496437055, 0.584764109263658]",all,842
