nDCG,Recall,collection,count
"[0.31667, 0.30556, 0.33376, 0.38383]","[0.13037, 0.2871, 0.36581, 0.48512]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.35106, 0.34323, 0.37028, 0.41631]","[0.16977, 0.3328, 0.40372, 0.51406]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.37811, 0.38627, 0.43154, 0.47922]","[0.16871, 0.37601, 0.48801, 0.60208]",mt-rag-govt-elser-512-100-20240611,214
"[0.49519, 0.44878, 0.502, 0.56347]","[0.19091, 0.40354, 0.5495, 0.69063]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.3881505106888361, 0.3733457125890737, 0.4122603325415677, 0.46377206650831354]","[0.16581266033254158, 0.35180047505938244, 0.45496547505938245, 0.5765646318289785]",all,842
