nDCG,Recall,collection,count
"[0.24468, 0.24514, 0.27731, 0.31937]","[0.12021, 0.24211, 0.31952, 0.4162]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.32338, 0.30673, 0.33534, 0.38005]","[0.14342, 0.29281, 0.36654, 0.47282]",mt-rag-govt-elser-512-100-20240611,214
"[0.46154, 0.39557, 0.42122, 0.47993]","[0.17501, 0.35615, 0.44108, 0.57755]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.26111, 0.22999, 0.26101, 0.29441]","[0.11626, 0.20631, 0.28146, 0.35841]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.32625720902612826, 0.2972323159144893, 0.326491187648456, 0.37160743467933494]","[0.13975404988123516, 0.276873135391924, 0.35481427553444184, 0.4598566152019002]",all,842
