nDCG,Recall,collection,count
"[0.27861, 0.26405, 0.29443, 0.3217]","[0.11758, 0.25448, 0.33014, 0.3944]",mt-rag-govt-elser-512-100-20240611,214
"[0.09444, 0.09609, 0.11254, 0.13555]","[0.03981, 0.09616, 0.13265, 0.18649]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.17021, 0.16948, 0.19085, 0.2182]","[0.09477, 0.16695, 0.21881, 0.28535]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.24519, 0.21774, 0.24341, 0.28606]","[0.09095, 0.19404, 0.2644, 0.36669]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.1998001306413302, 0.18900922802850356, 0.21265032066508313, 0.24302457244655581]","[0.08656171021377673, 0.1796725296912114, 0.23887049881235156, 0.3113401662707838]",all,842
