nDCG,Recall,collection,count
"[0.50481, 0.43183, 0.4661, 0.52923]","[0.19296, 0.38684, 0.49124, 0.64294]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.34043, 0.31049, 0.33469, 0.38101]","[0.16144, 0.29881, 0.35826, 0.46668]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.38806, 0.38891, 0.41315, 0.45463]","[0.17468, 0.37728, 0.44909, 0.54602]",mt-rag-govt-elser-512-100-20240611,214
"[0.28333, 0.25669, 0.29013, 0.33472]","[0.1138, 0.23265, 0.31464, 0.41786]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.3827709026128266, 0.3499862470308788, 0.37905916864608075, 0.4282121971496437]","[0.16193106888361045, 0.3265361995249406, 0.4064129216152019, 0.5221976009501187]",all,842
