nDCG,Recall,collection,count
"[0.38889, 0.35853, 0.38517, 0.4462]","[0.15848, 0.3311, 0.41156, 0.55352]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.36702, 0.34777, 0.3894, 0.42488]","[0.15674, 0.33679, 0.43547, 0.52085]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.54808, 0.50147, 0.55, 0.61097]","[0.22192, 0.45887, 0.59834, 0.73686]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.45771, 0.43992, 0.48735, 0.54093]","[0.20843, 0.41756, 0.53381, 0.66128]",mt-rag-govt-elser-512-100-20240611,214
"[0.4434062589073634, 0.4146228978622328, 0.4560198693586699, 0.5089198337292161]","[0.18762864608076008, 0.3884507957244655, 0.49814167458432307, 0.6217283729216152]",all,842
