nDCG,Recall,collection,count
"[0.08889, 0.10801, 0.11965, 0.14535]","[0.03472, 0.1112, 0.13935, 0.20194]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.21635, 0.19662, 0.22292, 0.25472]","[0.08646, 0.17969, 0.24652, 0.32072]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.23881, 0.22473, 0.25877, 0.3027]","[0.10937, 0.21534, 0.29726, 0.39942]",mt-rag-govt-elser-512-100-20240611,201
"[0.19681, 0.18861, 0.2138, 0.23555]","[0.10138, 0.18609, 0.24638, 0.29824]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.18790487773487774, 0.18142621621621624, 0.2060637451737452, 0.237156833976834]","[0.08401041184041183, 0.17459431145431148, 0.2347848906048906, 0.3081229086229086]",all,777
