nDCG,Recall,collection,count
"[0.17021, 0.17962, 0.19674, 0.21441]","[0.09752, 0.17829, 0.22191, 0.26402]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.06667, 0.08761, 0.09307, 0.11102]","[0.02657, 0.09083, 0.10565, 0.15]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.21891, 0.20342, 0.22874, 0.2611]","[0.09668, 0.18847, 0.25274, 0.32985]",mt-rag-govt-elser-512-100-20240611,201
"[0.19712, 0.16897, 0.18579, 0.22066]","[0.07849, 0.14788, 0.19997, 0.28679]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.16602567567567567, 0.16161073359073358, 0.17807050193050195, 0.20420985842985842]","[0.07577214929214929, 0.15252178893178894, 0.19707925353925354, 0.2607309266409266]",all,777
