nDCG,Recall,collection,count
"[0.17308, 0.1409, 0.15171, 0.18526]","[0.06202, 0.12316, 0.16178, 0.24175]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.07778, 0.06903, 0.07989, 0.09544]","[0.03009, 0.06269, 0.08861, 0.12459]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.09574, 0.10318, 0.12906, 0.14754]","[0.04938, 0.1075, 0.16322, 0.20489]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.199, 0.19502, 0.22051, 0.25083]","[0.1005, 0.19254, 0.24602, 0.31555]",mt-rag-govt-elser-512-100-20240611,201
"[0.13899505791505792, 0.12912414414414414, 0.1473895366795367, 0.17228781209781208]","[0.06151904761904762, 0.12331019305019304, 0.1669696525096525, 0.22478129987129986]",all,777
