nDCG,Recall,collection,count
"[0.36667, 0.31827, 0.34517, 0.38314]","[0.14876, 0.28724, 0.36419, 0.45235]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.34043, 0.34593, 0.36935, 0.41637]","[0.16374, 0.33989, 0.40523, 0.51881]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.35323, 0.35972, 0.41149, 0.46184]","[0.16108, 0.3468, 0.46894, 0.58801]",mt-rag-govt-elser-512-100-20240611,214
"[0.48558, 0.46386, 0.51538, 0.56989]","[0.19876, 0.43171, 0.56953, 0.69263]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.3884995486935867, 0.3742709026128266, 0.4131942517814727, 0.4609142874109264]","[0.1688400237529691, 0.3536299881235154, 0.45543211401425177, 0.5669322565320665]",all,842
