nDCG,Recall,collection,count
"[0.23333, 0.21809, 0.24295, 0.28777]","[0.10574, 0.20019, 0.26065, 0.36255]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.30846, 0.29864, 0.3278, 0.36951]","[0.14011, 0.28629, 0.35394, 0.4514]",mt-rag-govt-elser-512-100-20240611,214
"[0.24468, 0.25012, 0.27783, 0.31028]","[0.12775, 0.24477, 0.31525, 0.38777]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.47596, 0.40148, 0.43272, 0.49401]","[0.18198, 0.35551, 0.45535, 0.60303]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.31973580760095016, 0.2951484441805226, 0.3234924940617577, 0.3688919358669834]","[0.1401164726840855, 0.27424698337292164, 0.3494503087885985, 0.4552477672209026]",all,842
