nDCG,Recall,collection,count
"[0.22388, 0.22223, 0.25762, 0.29136]","[0.09751, 0.21824, 0.29871, 0.37654]",mt-rag-govt-elser-512-100-20240611,214
"[0.22115, 0.2149, 0.23396, 0.28]","[0.08357, 0.19873, 0.25535, 0.36749]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.09444, 0.09228, 0.1121, 0.13666]","[0.0312, 0.08787, 0.13316, 0.19316]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.18085, 0.19215, 0.20422, 0.23743]","[0.1008, 0.18911, 0.2243, 0.30515]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.18208519002375298, 0.18224381235154394, 0.20393197149643708, 0.23864552256532068]","[0.0789306650831354, 0.17514555819477434, 0.2299319239904988, 0.31341081947743465]",all,842
