nDCG,Recall,collection,count
"[0.11111, 0.09879, 0.11995, 0.13893]","[0.05231, 0.09491, 0.13537, 0.18398]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.20673, 0.19365, 0.23703, 0.28156]","[0.07473, 0.17693, 0.27758, 0.38364]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.12766, 0.14083, 0.16246, 0.18432]","[0.04982, 0.1484, 0.19539, 0.24491]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.15423, 0.17896, 0.1966, 0.22985]","[0.07595, 0.18748, 0.22633, 0.3029]",mt-rag-govt-elser-512-100-20240611,201
"[0.15186608751608752, 0.15509446589446588, 0.18140581724581722, 0.21161375804375804]","[0.06382464607464608, 0.1537553667953668, 0.2114914929214929, 0.2829337194337194]",all,777
