nDCG,Recall,collection,count
"[0.47115, 0.41245, 0.4376, 0.4982]","[0.17424, 0.37533, 0.46187, 0.60626]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.29255, 0.27612, 0.30348, 0.34201]","[0.1477, 0.27101, 0.3383, 0.42258]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.31111, 0.27421, 0.2938, 0.34102]","[0.12959, 0.24925, 0.30772, 0.41835]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.34328, 0.3287, 0.36818, 0.41991]","[0.15652, 0.31296, 0.40394, 0.528]",mt-rag-govt-elser-512-100-20240611,201
"[0.35778337194337195, 0.3257743371943372, 0.353878018018018, 0.40374387387387384]","[0.15289091377091377, 0.3047470785070785, 0.38127528957528956, 0.49804133848133847]",all,777
