nDCG,Recall,collection,count
"[0.23889, 0.22659, 0.24767, 0.29126]","[0.1032, 0.20677, 0.26321, 0.36716]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.29851, 0.27727, 0.30466, 0.34429]","[0.13333, 0.26432, 0.33364, 0.42698]",mt-rag-govt-elser-512-100-20240611,201
"[0.25, 0.25271, 0.27588, 0.30736]","[0.12243, 0.25434, 0.31225, 0.38145]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.39423, 0.34109, 0.36746, 0.42429]","[0.15525, 0.3041, 0.38791, 0.52245]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.29858500643500646, 0.27667138996138996, 0.30130550836550835, 0.3444853153153153]","[0.12958065637065636, 0.2592221879021879, 0.32667660231660234, 0.4276627799227799]",all,777
