nDCG,Recall,collection,count
"[0.33333, 0.35981, 0.40801, 0.45657]","[0.15984, 0.35389, 0.46858, 0.5826]",mt-rag-govt-elser-512-100-20240611,214
"[0.37222, 0.31032, 0.34531, 0.39294]","[0.15861, 0.28172, 0.36942, 0.47999]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.32979, 0.3273, 0.35532, 0.39164]","[0.15754, 0.31516, 0.3914, 0.47457]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.49749, 0.46927, 0.51391, 0.5729]","[0.20507, 0.43259, 0.55383, 0.68814]",mt-rag-clapnq-elser-512-100-20240503,214
"[0.38398342548076925, 0.3681169471153846, 0.4072694350961538, 0.4552738461538461]","[0.1706127764423077, 0.34732788461538466, 0.44777322115384616, 0.5585856009615384]",all,832
