nDCG,Recall,collection,count
"[0.45226, 0.39143, 0.4249, 0.48342]","[0.1709, 0.36182, 0.4537, 0.59264]",mt-rag-clapnq-elser-512-100-20240503,214
"[0.23333, 0.2144, 0.24574, 0.27929]","[0.10037, 0.19741, 0.27205, 0.34733]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.27363, 0.27491, 0.3065, 0.34757]","[0.12601, 0.26595, 0.33798, 0.43476]",mt-rag-govt-elser-512-100-20240611,214
"[0.23404, 0.24795, 0.26733, 0.31441]","[0.12092, 0.2477, 0.29713, 0.40849]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.30018188701923076, 0.2837645552884615, 0.31276984375, 0.3580103605769231]","[0.13016943509615386, 0.26971859375, 0.34191, 0.44798403846153845]",all,832
