nDCG,Recall,collection,count
"[0.07778, 0.08503, 0.1045, 0.12701]","[0.0287, 0.08329, 0.12811, 0.18209]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.13298, 0.14893, 0.16695, 0.19634]","[0.07066, 0.15037, 0.19514, 0.26788]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.22111, 0.22235, 0.24557, 0.29014]","[0.08384, 0.2073, 0.2741, 0.38211]",mt-rag-clapnq-elser-512-100-20240503,214
"[0.21891, 0.2212, 0.24343, 0.27708]","[0.10182, 0.21426, 0.2702, 0.34878]",mt-rag-govt-elser-512-100-20240611,214
"[0.16454735576923077, 0.171119375, 0.1919065504807692, 0.22465116586538464]","[0.07202865384615384, 0.16540192307692306, 0.21872330528846154, 0.2975502043269231]",all,832
