nDCG,Recall,collection,count
"[0.31915, 0.33177, 0.35372, 0.39633]","[0.15514, 0.32908, 0.3875, 0.48383]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.47115, 0.45269, 0.50279, 0.56624]","[0.18634, 0.41724, 0.55671, 0.69955]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.35821, 0.36855, 0.41456, 0.46539]","[0.1644, 0.35963, 0.47035, 0.59036]",mt-rag-govt-elser-512-100-20240611,214
"[0.37778, 0.32996, 0.35647, 0.40003]","[0.15583, 0.30005, 0.37558, 0.47578]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.38337115201900235, 0.3728588479809976, 0.4094904156769596, 0.4599582422802851]","[0.1659568052256532, 0.35343697149643705, 0.4507551781472684, 0.5663914608076009]",all,842
