nDCG,Recall,collection,count
"[0.31343, 0.29747, 0.32682, 0.37094]","[0.14425, 0.28187, 0.35203, 0.45831]",mt-rag-govt-elser-512-100-20240611,214
"[0.26111, 0.23861, 0.26642, 0.29907]","[0.1163, 0.2225, 0.29052, 0.36812]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.46635, 0.41253, 0.43306, 0.49988]","[0.17889, 0.3741, 0.4505, 0.61028]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.25, 0.25134, 0.27754, 0.30828]","[0.12491, 0.24739, 0.31225, 0.38357]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.32630321852731586, 0.3029375178147269, 0.3288102137767221, 0.37300072446555815]","[0.1421509619952494, 0.2839798456057007, 0.35400374109263655, 0.45922659144893113]",all,842
