nDCG,Recall,collection,count
"[0.08889, 0.09325, 0.11116, 0.13234]","[0.03102, 0.09444, 0.13574, 0.1862]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.22596, 0.21533, 0.24084, 0.28941]","[0.08437, 0.19408, 0.26464, 0.3789]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.24378, 0.24781, 0.2732, 0.3114]","[0.10415, 0.2408, 0.30589, 0.39627]",mt-rag-govt-elser-512-100-20240611,214
"[0.18617, 0.18511, 0.19966, 0.23206]","[0.10434, 0.18228, 0.21907, 0.29403]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.18840608076009502, 0.18737477434679337, 0.2083896674584323, 0.24391377672209028]","[0.08165042755344419, 0.17953216152019003, 0.23356464370546318, 0.3171084679334917]",all,842
