nDCG,Recall,collection,count
"[0.50481, 0.45942, 0.50871, 0.57042]","[0.20117, 0.41472, 0.55547, 0.69936]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.32979, 0.32945, 0.36576, 0.40586]","[0.16427, 0.32296, 0.40922, 0.50306]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.36667, 0.32655, 0.35143, 0.39073]","[0.15426, 0.30122, 0.37298, 0.4654]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.41791, 0.40037, 0.45053, 0.50083]","[0.18762, 0.38306, 0.50517, 0.62367]",mt-rag-govt-elser-512-100-20240611,214
"[0.40746372921615204, 0.3813657482185273, 0.421947541567696, 0.4701998456057007]","[0.17765540380047506, 0.3575079572446556, 0.4639486698337292, 0.5770355344418052]",all,842
