nDCG,Recall,collection,count
"[0.30846, 0.29375, 0.33386, 0.37867]","[0.14093, 0.28297, 0.372, 0.4809]",mt-rag-govt-elser-512-100-20240611,214
"[0.25, 0.23216, 0.25514, 0.29392]","[0.11366, 0.21679, 0.27503, 0.36415]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.44231, 0.38614, 0.41826, 0.48128]","[0.1654, 0.35438, 0.45102, 0.60007]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.26596, 0.2653, 0.28702, 0.31926]","[0.13794, 0.26556, 0.32023, 0.39519]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.31990460807600946, 0.2968458432304038, 0.32630432304038004, 0.37147325415676963]","[0.14026681710213776, 0.28208754156769594, 0.35749952494061754, 0.46414261282660335]",all,842
