nDCG,Recall,collection,count
"[0.19712, 0.19827, 0.23068, 0.27983]","[0.07404, 0.18198, 0.26256, 0.38117]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.09444, 0.09654, 0.11286, 0.13685]","[0.03565, 0.0945, 0.13209, 0.18807]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.16489, 0.16512, 0.18079, 0.21277]","[0.08661, 0.16234, 0.20356, 0.28278]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.25373, 0.26, 0.28634, 0.32639]","[0.10804, 0.2539, 0.32189, 0.41534]",mt-rag-govt-elser-512-100-20240611,214
"[0.17939324228028503, 0.1818450593824228, 0.20483393111638953, 0.24154439429928742]","[0.07666855106888361, 0.17480204275534442, 0.23243896674584325, 0.3202620783847981]",all,842
