nDCG,Recall,collection,count
"[0.30319, 0.28362, 0.30481, 0.3449]","[0.14713, 0.2712, 0.33184, 0.42249]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.42308, 0.38174, 0.41588, 0.4798]","[0.15931, 0.34773, 0.44894, 0.5989]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.27222, 0.24301, 0.27327, 0.3108]","[0.11611, 0.2263, 0.29742, 0.38562]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.31343, 0.29404, 0.31747, 0.36555]","[0.14096, 0.27833, 0.34226, 0.45558]",mt-rag-govt-elser-512-100-20240611,214
"[0.3303677790973872, 0.3027736460807601, 0.33012171021377673, 0.3779769596199525]","[0.14147080760095013, 0.28275990498812353, 0.3575059144893112, 0.4691170427553444]",all,842
