nDCG,Recall,collection,count
"[0.17553, 0.17274, 0.18563, 0.22105]","[0.08445, 0.16606, 0.20702, 0.29217]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.23077, 0.21435, 0.23875, 0.28236]","[0.08598, 0.1914, 0.26084, 0.36565]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.09444, 0.09327, 0.11388, 0.14191]","[0.03935, 0.09015, 0.13616, 0.20172]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.23881, 0.22838, 0.25533, 0.29016]","[0.10348, 0.22297, 0.28592, 0.36692]",mt-rag-govt-elser-512-100-20240611,214
"[0.18714374109263657, 0.17916882422802852, 0.20051887173396674, 0.23622116389548692]","[0.0790346080760095, 0.16932461995249404, 0.2246436817102138, 0.30933920427553446]",all,842
