nDCG,Recall,collection,count
"[0.37778, 0.32379, 0.35579, 0.41128]","[0.1612, 0.29839, 0.38103, 0.51081]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.50481, 0.46237, 0.50212, 0.56983]","[0.19916, 0.42313, 0.5398, 0.69447]",mt-rag-clapnq-elser-512-100-20240503,224
"[0.39303, 0.38999, 0.42429, 0.47745]","[0.17841, 0.37246, 0.4691, 0.59758]",mt-rag-govt-elser-512-100-20240611,214
"[0.34574, 0.33378, 0.36693, 0.40854]","[0.1656, 0.3211, 0.40152, 0.49815]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.4076493824228028, 0.3799143111638955, 0.41484061757719715, 0.4696100237529691]","[0.17674391923990498, 0.35592953681710215, 0.45064034441805223, 0.5786405463182899]",all,842
