nDCG,Recall,collection,count
"[0.08889, 0.08728, 0.09977, 0.12009]","[0.0369, 0.08644, 0.11349, 0.16349]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"[0.24352, 0.24004, 0.27141, 0.31295]","[0.10872, 0.23636, 0.30911, 0.40501]",mt-rag-govt-elser-512-100-20240611,211
"[0.14851, 0.14484, 0.17904, 0.22387]","[0.05503, 0.13201, 0.21279, 0.32178]",mt-rag-clapnq-elser-512-100-20240503,218
"[0.12234, 0.13534, 0.16824, 0.19065]","[0.05142, 0.13858, 0.21265, 0.26575]",mt-rag-ibmcloud-elser-512-100-20240502,205
"[0.15189280912364947, 0.15286552220888355, 0.18084232893157262, 0.21346611044417768]","[0.06341015606242498, 0.14917238895558224, 0.2134312004801921, 0.2912585954381753]",all,833
