domain,count,nDCG@1,nDCG@3,nDCG@5,nDCG@10,Recall@1,Recall@3,Recall@5,Recall@10
clapnq,202,0.51485,0.46881,0.50689,0.5717,0.20731,0.41849,0.53529,0.68683
cloud,188,0.42021,0.38955,0.43141,0.47144,0.20599,0.3642,0.46863,0.55959
fiqa,180,0.41111,0.37145,0.40482,0.4615,0.16557,0.34503,0.43565,0.57012
govt,193,0.4715,0.46748,0.51305,0.57561,0.22763,0.45717,0.55924,0.70527
ALL,763,0.456092372214941,0.4259759633027523,0.4657707863695937,0.5219880078636959,0.20227775884665794,0.39756722149410223,0.5014172214941023,0.6326098165137615
