enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
answerability,ANSWERABLE,bge,lastturn,nDCG@3,0.2868611695441467,0.0,0.35894875862115283,0.0,1.0,709
answerability,ANSWERABLE,bge,lastturn,nDCG@5,0.3122322391348378,0.2021073465,0.35069389633509,0.0,1.0,709
answerability,ANSWERABLE,bge,lastturn,nDCG@10,0.35748258460832155,0.2900757977,0.3532800132966179,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,R@1,0.1617122260245416,0.0,0.24958259212754372,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,R@3,0.3157073454664316,0.25,0.35461122203751594,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,R@5,0.39170024850535967,0.3333333333,0.3729097560607599,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,R@10,0.51178946425811,0.5,0.39388667484698053,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,nDCG@1,0.3751763046544429,0.0,0.48451021189076926,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,nDCG@3,0.33900641346022564,0.296081911,0.36195907235545316,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,nDCG@5,0.3667545787286319,0.3065735964,0.35382704232489415,0.0,1.0,709
answerability,ANSWERABLE,bge,rewrite,nDCG@10,0.4182256497754584,0.3889580944,0.3496904702699314,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,R@1,0.06559876418688293,0.0,0.1714291172223512,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,R@3,0.1541641480277856,0.0,0.29258668937819415,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,R@5,0.21226240848857544,0.0,0.337355618318927,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,R@10,0.28204714890155147,0.0,0.37832733784200406,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,nDCG@1,0.15514809590973203,0.0,0.36230139591637134,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,nDCG@3,0.1570791640232722,0.0,0.2934080547705639,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,nDCG@5,0.18368703985119886,0.0,0.3021588924785834,0.0,1.0,709
answerability,ANSWERABLE,bge,questions,nDCG@10,0.21359931031212975,0.0,0.3108656884577704,0.0,1.0,709
answerability,PARTIAL,elser,lastturn,R@1,0.1295518207264706,0.0,0.2536207613529877,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,R@3,0.2505252100838235,0.0,0.36226739154472354,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,R@5,0.36169467787058823,0.0,0.4231375359967841,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,R@10,0.4516806722705882,0.5,0.4418684768605329,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,nDCG@1,0.2647058823529412,0.0,0.44445663820946985,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,nDCG@3,0.25534003071764705,0.0,0.36112246778913154,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,nDCG@5,0.3029189569029412,0.0,0.36718213438549574,0.0,1.0,68
answerability,PARTIAL,elser,lastturn,nDCG@10,0.3399019837647059,0.24242025044999999,0.3668039538815488,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,R@1,0.168767507,0.0,0.2591682094611755,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,R@3,0.3081232492985294,0.125,0.36539002669971954,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,R@5,0.4355742296911765,0.3333333333,0.43646600003708313,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,R@10,0.5558473389382352,0.6666666667,0.43990799400598035,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,nDCG@1,0.38235294117647056,0.0,0.4895752580296542,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,nDCG@3,0.3302674470720588,0.1173196815,0.36672037675793406,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,nDCG@5,0.3792400653367647,0.39038005,0.3705233543421457,0.0,1.0,68
answerability,PARTIAL,elser,rewrite,nDCG@10,0.4299608612235294,0.41623818805,0.37131752787646366,0.0,1.0,68
answerability,PARTIAL,elser,questions,R@1,0.12745098038970587,0.0,0.2541001210619645,0.0,1.0,68
answerability,PARTIAL,elser,questions,R@3,0.2647058823529412,0.0,0.40106129327186557,0.0,1.0,68
answerability,PARTIAL,elser,questions,R@5,0.33385854341764704,0.0,0.4404086360909978,0.0,1.0,68
answerability,PARTIAL,elser,questions,R@10,0.43557422969411763,0.25,0.46162530881513936,0.0,1.0,68
answerability,PARTIAL,elser,questions,nDCG@1,0.25,0.0,0.436232171512701,0.0,1.0,68
answerability,PARTIAL,elser,questions,nDCG@3,0.25653667508088235,0.0,0.37907221312757927,0.0,1.0,68
answerability,PARTIAL,elser,questions,nDCG@5,0.28628720571764704,0.0,0.38310936757210257,0.0,1.0,68
answerability,PARTIAL,elser,questions,nDCG@10,0.3263825654897059,0.16562628905,0.37893395727276885,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,R@1,0.08333333333235295,0.0,0.2159671063941882,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,R@3,0.14145658263235295,0.0,0.3177021442609911,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,R@5,0.17909663865735295,0.0,0.3460516223320744,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,R@10,0.24177170868382353,0.0,0.3719010521165222,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,nDCG@1,0.16176470588235295,0.0,0.3709726673621157,0.0,1.0,68
answerability,PARTIAL,bm25,lastturn,nDCG@3,0.148564046875,0.0,0.31628030663203865,0.0,1.0,68
