enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
multi_turn,Follow-up,bge,lastturn,nDCG@5,0.28453727412874563,0.13863671365,0.34060630849305373,0.0,1.0,574
multi_turn,Follow-up,bge,lastturn,nDCG@10,0.3298904760426829,0.23425203374999998,0.34603369846330034,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,R@1,0.14793291299930314,0.0,0.24135928815610386,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,R@3,0.28501050826672475,0.2,0.3375702455192751,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,R@5,0.362935540069338,0.3333333333,0.3608605180152423,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,R@10,0.4851280349552265,0.5,0.39413192492519505,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,nDCG@1,0.3519163763066202,0.0,0.477984592305845,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,nDCG@3,0.31191317595696866,0.234639363,0.3518658103783408,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,nDCG@5,0.33986806024668986,0.2866776692,0.3422223422210684,0.0,1.0,574
multi_turn,Follow-up,bge,rewrite,nDCG@10,0.39230882019198604,0.37047851340000004,0.34301201970413503,0.0,1.0,574
multi_turn,Follow-up,bge,questions,R@1,0.039011946240940766,0.0,0.13002279972986555,0.0,1.0,574
multi_turn,Follow-up,bge,questions,R@3,0.10523062883606271,0.0,0.23957680722080704,0.0,1.0,574
multi_turn,Follow-up,bge,questions,R@5,0.16009415961428572,0.0,0.29438462384240593,0.0,1.0,574
multi_turn,Follow-up,bge,questions,R@10,0.2315289530445993,0.0,0.3482298057548684,0.0,1.0,574
multi_turn,Follow-up,bge,questions,nDCG@1,0.10104529616724739,0.0,0.30165157027097556,0.0,1.0,574
multi_turn,Follow-up,bge,questions,nDCG@3,0.10812485411794424,0.0,0.24340722383893926,0.0,1.0,574
multi_turn,Follow-up,bge,questions,nDCG@5,0.13293237298850175,0.0,0.25279655401262474,0.0,1.0,574
multi_turn,Follow-up,bge,questions,nDCG@10,0.1634953152456446,0.0,0.2662913803991176,0.0,1.0,574
