nDCG,Recall,collection,count
"[0.34444, 0.31978, 0.34769, 0.3909]","[0.14644, 0.29303, 0.37049, 0.47188]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.47596, 0.43663, 0.47493, 0.52701]","[0.19812, 0.39729, 0.51128, 0.63028]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.37234, 0.36734, 0.38944, 0.42729]","[0.17881, 0.35337, 0.42012, 0.50365]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.35323, 0.36084, 0.40008, 0.44861]","[0.16357, 0.34522, 0.44493, 0.5588]",mt-rag-govt-elser-512-100-20240611,201
"[0.3886718532818532, 0.37318944658944664, 0.4054059716859717, 0.45106976833976836]","[0.17253797940797938, 0.3490405405405405, 0.43944392535392535, 0.5444551351351351]",all,777
