nDCG,Recall,collection,count
"[0.38889, 0.34412, 0.37791, 0.43553]","[0.16306, 0.30992, 0.40164, 0.53575]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.37766, 0.36541, 0.39396, 0.4377]","[0.17926, 0.35293, 0.42966, 0.52803]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.52404, 0.46998, 0.51349, 0.57804]","[0.2087, 0.42437, 0.55161, 0.70055]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.41294, 0.4067, 0.45402, 0.51695]","[0.19359, 0.39231, 0.50824, 0.65097]",mt-rag-govt-elser-512-100-20240611,201
"[0.4285734105534105, 0.39915214929214926, 0.43777634491634493, 0.49526675675675674]","[0.1870950707850708, 0.372277619047619, 0.47614208494208493, 0.6078043886743887]",all,777
